Questions,Yes,No
Does the MD not touch patient or contact only intact skin?,Class I,1 Line down
Does the MD involve chanelling or storing for eventual administration?,1 Line down,3 Lines down
"Is the MD to be used with blood, other bodily fluids, organs or tissues?",Class IIa,1 Line down
May the MD be connected to an active medical device in Class IIa or higher?,Class I,Class IIa
"Does the MD modify biological or chemical composition of blood, body liquids, or other liquids intended for infusion?",1 Line down,2 Lines down
"Is the MD only for filtration, centrifiguration, or exchange of gas or heat?",Class IIa,Class IIb
"Does the MD involve contact with injured skin (mechanical barrier, compression, absorb exudates)?",1 Line down,3 Lines down
Is the MD intended for wounds which breach dermis and heal only by secondary intent?,Class IIb,1 Line down
"Yes, is the MD intended to manage micro-environment of wounds + others?",Class IIa,Class I
Is the MD invasive in body orifice or stoma (not surgically)?,1 Line down,7 Lines down
"If (11) yes, is the MD for trancient use?",Class I,1 Line down
"If (11) yes, is the MD for short-term use?",1 Line down,2 Lines down
"If (13) yes, is the MD only for use in oral cavity, ear canal, or in nasal cavity?",Class I,Class IIa
"If (11) yes, is the MD for long-term use?",1 Line down,2 Lines down
"If (15) yes, is the MD only for use in oral cavity, ear canal, or in nasal cavity and is not liable to be absorbed by the mucous membrane?",Class IIa,Class IIb
"If (11) yes, is the MD to be connected to an active medical device in Class IIa or higher?",Class IIa,1 Line down
Is the MD surgically invasive and for trancient use?,1 Line down,7 Lines down
"If (18) yes, is the MD specifically to control/diagnose/monitor/correct a defect of heart or central circulatory system through direct contact?",Class III,1 Line down
"If (18) yes, is the MD or use in direct contact with the central nervous systerm?",Class III,1 Line down
"If (18) yes, is the MD a reusable surgical instrument?",Class I,1 Line down
"If (18) yes, does the MD supply energy or ionising radiation?",Class IIb,1 Line down
"If (18) yes, does the MD have a biological effect, ie it is mainly or wholly absorbed?",Class IIb,1 Line down
"If (18) yes, is the MD intended to administer medicine in a potentially hazardous manner?",Class IIb,Class IIa
Is the MD surgically invasive and for short-term use?,1 Line down,6 Lines down
"If (25) yes, is the MD for use in direct contact with the central nervous system?",Class III,1 Line down
"If (25) yes, is the MD specifically used to monitor/control/diagnose/correct defect of heart or central circulatory system by direct contact?",Class III,1 Line down
"If (25) yes, does the MD supply energy or ionising radiation?",Class IIb,1 Line down
"If (25) yes, does the MD have a biological effect or is mainly absorbed?",Class III,1 Line down
"If (25) yes, does the MD undergo chemical change in the body, or is used to administer medicine (not in teeth)?",Class IIb,Class IIa
"Is the MD surgically invasive, for long term use, or is an implantable device?",1 Line down,6 Lines down
"If (31) yes, is the MD to be used in teeth?",Class IIa,1 Line down
"If (31) yes, is the MD to be used in direct contact with heart or central nervous/circulatory system?",Class III,1 Line down
"If (31) yes, does the MD have a biological effect or is mainly absorbed?",Class III,1 Line down
"If (31) yes, does the MD undergo chemical change in the body, or is used to administer medicine (not in teeth",Class III,1 Line down
"If (31) yes, is the MD for use in breast implants, or hip, knee, or shoulder joint replacements?",Class III,Class IIb
Is the MD an active therapeutic device intended to administer or exchange energy?,1 Line down,3 Lines down
"If (37) yes, does the MD administer or exchange energy in a potentially hazardous way?",Class IIb,1 Line down
"If (37) yes, does the MD control, monitor, or influence directly the performance of a Class IIb active therapeutic device?",Class IIb,Class IIa
"Is the MD an active device for diagnosis intended to supply energy to image in vivo distribution of radiopharmaceuticals, or for direct diagnosis or monitoring of vital physiological processes?",1 Line down,3 Lines down
"If (40) yes, is the MD specifically intended to monitor vital physiological parameters where variations could result in immediate danger?",Class IIb,1 Line down
"If (41) yes, does the MD emit ionizing radiation and is intended for diagnostic and therapeutic interventional radiology?",Class IIb,Class IIa
Is the MD an active device to administer or remove medicines and other substances to or from the body?,1 Line down,2 Lines down
"If (43) yes, does the MD do so in a potentiall hazardous way?",Class IIb,Class IIa
Is the MD an active medical device but is not classified by any of the above rules?,Class I,1 Line down
Does the MD incorporate integral medicinal substances liable to act in an ancillary way on the human body?,Class III,1 Line down
Is the MD used for contraception or prevenion of sexually transmitted diseases?,1 Line down,2 Lines down
"If (47) yes, is the MD implantable or is long-term invasive?",Class III,Class IIb
Is the MD specifically to be used for disinfecting MDs?,1 Line down,3 Lines down
"If (50) yes, is the MD specifically to be used for disinfecting, cleaning, rinsing or hydrating contact lenses?",Class IIb,1 Line down
"If (50) yes, is the MD specifically to be used for disinfecting invasive MDs?",Class IIb,Class IIa
Is the MD intended for recording of X-ray diagnostic images?,Class IIa,1 Line down
Does the MD utilize non-viable animal tissues or derivatives (not devices in contact with only intact skin)?,Class III,1 Line down
Is the MD a blood bag?,Class IIb,Error
